DATE,NCPRNSAXDCSAQ
2010-01-01,156759.2
2010-04-01,164331.8
2010-07-01,159314.8
2010-10-01,159011.5
2011-01-01,159407.9
2011-04-01,163892.7
2011-07-01,163549.0
2011-10-01,163879.3
2012-01-01,179103.5
2012-04-01,185521.3
2012-07-01,182186.5
2012-10-01,181508.6
2013-01-01,183278.9
2013-04-01,188370.1
2013-07-01,190087.1
2013-10-01,195126.8
2014-01-01,198200.5
2014-04-01,198393.0
2014-07-01,206833.7
2014-10-01,209485.3
2015-01-01,223522.7
2015-04-01,219115.0
2015-07-01,212994.0
2015-10-01,225011.2
2016-01-01,227284.9
2016-04-01,224611.6
2016-07-01,224885.6
2016-10-01,226387.0
2017-01-01,234103.3
2017-04-01,235677.4
2017-07-01,235917.7
2017-10-01,239127.4
2018-01-01,241350.5
2018-04-01,243823.4
2018-07-01,241528.0
2018-10-01,242139.7
2019-01-01,256854.8
2019-04-01,258760.2
2019-07-01,259207.5
2019-10-01,256879.4
2020-01-01,254603.5
2020-04-01,211455.4
2020-07-01,239477.8
2020-10-01,242695.0
2021-01-01,257437.3
2021-04-01,254990.1
2021-07-01,263358.9
2021-10-01,262694.8
2022-01-01,271295.2
2022-04-01,268669.1
2022-07-01,275448.9
2022-10-01,273441.0
2023-01-01,285196.3
2023-04-01,281622.0
