;Date;Year;Quarter;Educational Level;No schooling;Early childhood education;Primary;Intermediate education (general or vocational);Diploma;Post-secondary non-tertiary education;Short-cycle tertiary education;Graduate or Equivalent;Higher Diploma - Master's degree;Master's degree or equivalent;Ph.D;Grand Total
01.04.2016;Q2-2016;2016;2;37,34356499;#N/A;40,03835139;40,25012282;39,74943935;39,35904017;#N/A;#N/A;37,2147901;38,92736605;#N/A;38,85936548;38,84847324
01.07.2016;Q3-2016;2016;3;36,37434929;#N/A;40,07624617;39,956587;39,47722914;38,81246555;#N/A;#N/A;36,79649366;38,845875;#N/A;38,22351269;38,57934805
01.10.2016;Q4-2016;2016;4;36,83351674;#N/A;39,59436508;39,53331191;39,10919638;39,33524501;#N/A;#N/A;37,52148017;39,50936009;#N/A;38,58877782;38,58635779
01.01.2017;Q1-2017;2017;1;38,64228048;#N/A;39,72664283;39,99445558;39,76795754;39,54439241;#N/A;#N/A;37,45295551;38,77972464;#N/A;38,83852691;38,91335615
01.04.2017;Q2-2017;2017;2;36,61779465;#N/A;40,25601905;39,77178339;39,63865872;39,37585085;#N/A;#N/A;37,28512485;39,38015638;#N/A;38,55349801;38,74605477
01.07.2017;Q3-2017;2017;3;37,07007814;#N/A;39,99191445;40,3382945;39,74621443;39,90847589;#N/A;#N/A;37,6540376;38,32838388;#N/A;38,28980351;38,99072856
01.10.2017;Q4-2017;2017;4;39,24266559;#N/A;41,21606803;40,53795077;40,04416535;39,52503902;#N/A;#N/A;37,65953285;38,71873502;#N/A;39,70981624;39,20225491
01.01.2018;Q1-2018;2018;1;35,60729517;#N/A;39,15177986;40,36072995;39,62587446;39,52412804;#N/A;#N/A;37,74495234;38,31036411;#N/A;38,85493473;38,88782959
01.04.2018;Q2-2018;2018;2;36,54459888;#N/A;39,88388153;39,99354303;39,2762421;39,51662535;#N/A;#N/A;37,75521263;38,73469426;#N/A;38,73933926;38,76766459
01.01.2019;Q1-2019;2019;1;37,1251766;38,70843907;39,3094459;39,94226313;39,18877559;39,66687786;#N/A;#N/A;38,32466822;#N/A;39,29596074;38,9236909;38,96362593
01.04.2019;Q2-2019;2019;2;35,44530417;38,16394538;39,16645286;39,84533006;38,75707693;39,21558383;#N/A;#N/A;38,07729031;#N/A;38,87052655;38,41444848;38,60749022
01.07.2019;Q3-2019;2019;3;35,9850173;38,38780837;38,47346407;38,76104647;38,78140259;39,17699212;#N/A;#N/A;37,88047831;#N/A;38,41680174;37,72248608;38,42156296
01.10.2019;Q4-2019;2019;4;34,54002259;34,3632492;37,72164286;39,11248457;38,86470792;39,16972382;#N/A;#N/A;38,34660632;#N/A;39,45887834;39,41560802;38,54632724
01.01.2020;Q1-2020;2020;1;36,13942308;37,76930203;39,04704805;39,44210242;38,95649935;39,22459417;#N/A;#N/A;38,13643801;#N/A;38,02583659;38,42335169;38,65016227
01.04.2020;Q2-2020;2020;2;39,71076834;39,11685647;40,22439596;39,86302218;39,48886196;39,71541408;#N/A;#N/A;38,66465677;#N/A;38,89358766;38,19278487;39,22412517
01.07.2020;Q3-2020;2020;3;38,57517529;39,67495689;39,66413802;40,35628813;40,03857811;40,04442892;#N/A;#N/A;39,02316246;#N/A;38,87173364;40,63536857;39,60891615
01.10.2020;Q4-2020;2020;4;38,25423333;39,90090367;40,63221721;40,89687967;40,70829979;40,63820903;#N/A;#N/A;39,07611141;#N/A;39,76933693;41,58218456;39,99091817
01.01.2021;Q1-2021;2021;1;39,33763553;38,44176733;39,77119098;39,06854849;39,58378887;#N/A;39,64889194;39,55590666;37,74576561;#N/A;38,26771229;38,70190039;38,75945273
01.04.2021;Q2-2021;2021;2;33,84450744;34,96470636;37,49170979;39,29922014;40,36480651;#N/A;40,75503271;40,1782851;38,70024309;#N/A;39,65604747;39,06316306;39,42031365
01.07.2021;Q3-2021;2021;3;35,75384593;31,62834709;40,9890569;40,54836404;42,78050642;#N/A;41,08560792;41,38674624;39,53277437;#N/A;39,77012748;39,54560542;40,82851613
01.10.2021;Q4-2021;2021;4;38,28046035;38,30626301;40,46146126;41,27766024;42,35258154;#N/A;41,92293337;41,76499857;39,67982661;#N/A;39,56961246;39,36187418;40,8975636
01.01.2022;Q1-2022;2022;1;35,1892077;37,08081405;40,63907815;41,19897322;42,4041021;#N/A;41,57646503;41,4172562;40,00385998;#N/A;39,43892643;39,47741233;40,96723487
01.04.2022;Q2-2022;2022;2;37,52213444;38,88051898;41,26756536;41,2781221;41,82776752;#N/A;41,73135956;41,15290295;39,67283375;#N/A;38,98518143;38,90259379;40,66460533
01.07.2022;Q3-2022;2022;3;40,38706173;40,55199585;41,3705343;41,36833784;41,72815457;#N/A;41,59451378;41,43266463;39,72758813;#N/A;39,43912884;39,65826223;40,73011745
01.10.2022;Q4-2022;2022;4;35,20420449;41,65293054;40,41053676;41,48734515;41,55048714;#N/A;41,21298157;41,19450833;39,67543321;#N/A;39,81668051;38,97868356;40,52662626
01.01.2023;Q1-2023;2023;1;35,83456343;38,94283414;40,98344079;40,82866162;42,12105054;#N/A;41,45124035;41,34074979;39,66735728;#N/A;39,72087492;39,27721447;40,70325461
01.04.2023;Q2-2023;2023;2;36,73712563;38,8158771;42,04043955;41,96580875;42,13218731;#N/A;41,80830243;41,56302227;40,04083642;#N/A;39,42319118;38,9940419;40,98826004
