Date;Year_Quarter;Year;Quarter;10y_bond_rate
01.01.1999;Q1-1999;1999;Q1;7,5100
01.04.1999;Q2-1999;1999;Q2;7,2400
01.07.1999;Q3-1999;1999;Q3;7,0900
01.10.1999;Q4-1999;1999;Q4;7,2800
01.01.2000;Q1-2000;2000;Q1;7,9100
01.04.2000;Q2-2000;2000;Q2;8,1500
01.07.2000;Q3-2000;2000;Q3;7,7800
01.10.2000;Q4-2000;2000;Q4;7,5100
01.01.2001;Q1-2001;2001;Q1;5,7400
01.04.2001;Q2-2001;2001;Q2;6,7900
01.07.2001;Q3-2001;2001;Q3;6,3600
01.10.2001;Q4-2001;2001;Q4;6,3600
01.01.2002;Q1-2002;2002;Q1;5,2000
01.04.2002;Q2-2002;2002;Q2;6,1800
01.07.2002;Q3-2002;2002;Q3;6,6200
01.10.2002;Q4-2002;2002;Q4;6,3100
01.01.2003;Q1-2003;2003;Q1;5,4200
01.04.2003;Q2-2003;2003;Q2;4,7510
01.07.2003;Q3-2003;2003;Q3;5,1380
01.10.2003;Q4-2003;2003;Q4;5,3530
01.01.2004;Q1-2004;2004;Q1;4,6250
01.04.2004;Q2-2004;2004;Q2;4,8750
01.07.2004;Q3-2004;2004;Q3;4,7500
01.10.2004;Q4-2004;2004;Q4;5,1940
01.01.2005;Q1-2005;2005;Q1;5,1250
01.04.2005;Q2-2005;2005;Q2;5,1250
01.07.2005;Q3-2005;2005;Q3;4,6250
01.10.2005;Q4-2005;2005;Q4;4,6250
01.01.2006;Q1-2006;2006;Q1;5,1300
01.04.2006;Q2-2006;2006;Q2;5,1250
01.07.2006;Q3-2006;2006;Q3;5,5000
01.10.2006;Q4-2006;2006;Q4;#N/A
01.01.2007;Q1-2007;2007;Q1;5,0000
01.04.2007;Q2-2007;2007;Q2;5,1250
01.07.2007;Q3-2007;2007;Q3;5,5000
01.10.2007;Q4-2007;2007;Q4;#N/A
