Date;الفترة;متوسط شهري لأسعار الفائدة بين البنوك
01.01.2007;Q1 2007;5,086876667
01.04.2007;Q2 2007;5,044793333
01.07.2007;Q3 2007;5,05125
01.10.2007;Q4 2007;4,4375
01.01.2008;Q1 2008;2,750729167
01.04.2008;Q2 2008;2,497683913
01.07.2008;Q3 2008;4,017900408
01.10.2008;Q4 2008;3,872003205
01.01.2009;Q1 2009;1,357266144
01.04.2009;Q2 2009;0,889771282
01.07.2009;Q3 2009;0,647518846
01.10.2009;Q4 2009;0,750644872
01.01.2010;Q1 2010;0,760368333
01.04.2010;Q2 2010;0,726157867
01.07.2010;Q3 2010;0,721976538
01.10.2010;Q4 2010;0,734948077
01.01.2011;Q1 2011;0,75
01.04.2011;Q2 2011;0,714846092
01.07.2011;Q3 2011;0,604153205
01.10.2011;Q4 2011;0,708867179
01.01.2012;Q1 2012;0,832301795
01.04.2012;Q2 2012;0,906203974
01.07.2012;Q3 2012;0,95003641
01.10.2012;Q4 2012;0,976722821
01.01.2013;Q1 2013;0,97589924
01.04.2013;Q2 2013;0,95818661
01.07.2013;Q3 2013;0,958199266
01.10.2013;Q4 2013;0,920658071
01.01.2014;Q1 2014;0,953805303
01.04.2014;Q2 2014;0,951747835
01.07.2014;Q3 2014;0,945912698
01.10.2014;Q4 2014;0,891596032
01.01.2015;Q1 2015;0,8162
01.04.2015;Q2 2015;0,773933333
01.07.2015;Q3 2015;0,828233333
01.10.2015;Q4 2015;1,1004
01.01.2016;Q1 2016;1,715762063
01.04.2016;Q2 2016;2,072859778
01.07.2016;Q3 2016;2,280601229
01.10.2016;Q4 2016;2,195467532
01.01.2017;Q1 2017;1,886523287
01.04.2017;Q2 2017;1,741016667
01.07.2017;Q3 2017;1,794616026
01.10.2017;Q4 2017;1,82451746
01.01.2018;Q1 2018;1,9542
01.04.2018;Q2 2018;2,414533333
01.07.2018;Q3 2018;2,6192
01.10.2018;Q4 2018;2,815995514
01.01.2019;Q1 2019;2,934282911
01.04.2019;Q2 2019;2,821566807
01.07.2019;Q3 2019;2,513837534
01.10.2019;Q4 2019;2,257692993
01.01.2020;Q1 2020;1,886206605
01.04.2020;Q2 2020;1,127925385
01.07.2020;Q3 2020;0,916
01.10.2020;Q4 2020;0,839034731
01.01.2021;Q1 2021;0,807223763
01.04.2021;Q2 2021;0,793675606
01.07.2021;Q3 2021;0,796229903
01.10.2021;Q4 2021;0,842836559
01.01.2022;Q1 2022;1,364613437
01.04.2022;Q2 2022;2,714606047
01.07.2022;Q3 2022;3,140852573
01.10.2022;Q4 2022;5,281579513
01.01.2023;Q1 2023;5,494883633
01.04.2023;Q2 2023;5,830097591
01.07.2023;Q3 2023;6,088936188
;;
;;
;;
;الملاحظات;
