DATE,NGDPRSAXDCSAQ
2010-01-01,472498.1
2010-04-01,487268.9
2010-07-01,492963.7
2010-10-01,521219.1
2011-01-01,535829.9
2011-04-01,544264.4
2011-07-01,555165.3
2011-10-01,564832.0
2012-01-01,573404.1
2012-04-01,579886.4
2012-07-01,590590.1
2012-10-01,575481.5
2013-01-01,573734.0
2013-04-01,591161.4
2013-07-01,614601.7
2013-10-01,606107.2
2014-01-01,613298.0
2014-04-01,616018.5
2014-07-01,626245.2
2014-10-01,625883.7
2015-01-01,632607.0
2015-04-01,652555.9
2015-07-01,655982.8
2015-10-01,656665.8
2016-01-01,654664.5
2016-04-01,663557.3
2016-07-01,661500.0
2016-10-01,672284.1
2017-01-01,657094.2
2017-04-01,664720.2
2017-07-01,668243.4
2017-10-01,667077.9
2018-01-01,671938.8
2018-04-01,675629.9
2018-07-01,687281.7
2018-10-01,695832.9
2019-01-01,686137.3
2019-04-01,686062.5
2019-07-01,685190.6
2019-10-01,696013.3
2020-01-01,675203.2
2020-04-01,641848.8
2020-07-01,650874.5
2020-10-01,665942.2
2021-01-01,656841.1
2021-04-01,669233.6
2021-07-01,698126.2
2021-10-01,714873.8
2022-01-01,733469.2
2022-04-01,741784.4
2022-07-01,750843.4
2022-10-01,760044.3
2023-01-01,750487.3
2023-04-01,747728.7
2023-07-01,718568.0
